City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
296,Caravelas,BR,68.76,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
298,Plouzane,FR,71.92,clear sky,48.3833,-4.6167,Carrefour Voyages Plouzané
299,Sete,FR,73.89,clear sky,43.4018,3.6966,Hôtel de Paris à Sète
300,Guigue,VE,75.47,broken clouds,10.0853,-67.7792,La vasquereña
301,Yulara,AU,64.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
302,Byron Bay,AU,65.05,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
303,Goderich,CA,67.91,clear sky,43.7501,-81.7165,Harmony Inn
304,Portland,US,79.2,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
305,Mindelheim,DE,62.78,scattered clouds,48.05,10.4833,Hotel-Restaurant Alte Post
306,Ruza,RU,57.34,clear sky,55.699,36.1952,Dom Banya
308,Lata,PT,61.92,scattered clouds,40.1629,-8.3327,Casa Maquia
309,Indramayu,ID,77.94,broken clouds,-6.3264,108.32,Grand Trisula Hotel
310,Doha,QA,96.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
311,Alamogordo,US,88.95,scattered clouds,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
312,Hervey Bay,AU,60.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
313,Fairbanks,US,77.02,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
314,Ortakoy,TR,70.05,clear sky,38.7373,34.0387,Berilhan Hotel
316,Sambava,MG,70.54,light rain,-14.2667,50.1667,Melrose
317,Talnakh,RU,57.92,overcast clouds,69.4865,88.3972,Talnakh Hotel
318,Constitucion,CL,53.15,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
319,Miranda,CO,80.73,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
320,Eyl,SO,79.79,broken clouds,7.9803,49.8164,Amiin Hotel
322,Accra,GH,76.12,scattered clouds,5.556,-0.1969,Accra City Hotel
324,Porto Recanati,IT,76.3,scattered clouds,43.4365,13.6613,Hotel Il Brigantino
325,Salinopolis,BR,78.39,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
326,Malinovoye Ozero,RU,63.36,clear sky,51.6753,79.7825,Solonyy Bereg
327,Awbari,LY,83.34,clear sky,26.5921,12.7805,فندق أوباري
328,Sur,OM,92.75,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
329,Oeiras Do Para,BR,75.52,broken clouds,-2.0031,-49.8544,Araticu Soft Hotel
330,Coolum Beach,AU,63.34,scattered clouds,-26.5333,153.1,Palmer Coolum Resort
331,Zhigansk,RU,63.34,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
332,Fuerte Olimpo,PY,67.19,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
333,Karwar,IN,76.44,light rain,14.8,74.1333,Netalco Connects
334,Bengkulu,ID,74.46,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
335,Garbou,RO,62.02,broken clouds,47.15,23.4333,Călacea county
336,Atambua,ID,75.54,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
337,Kupang,ID,75.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
338,Dingli,MT,73.81,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
339,Klaksvik,FO,52.72,clear sky,62.2266,-6.5889999999999995,Airbnb rooms
340,Marienburg,PL,63.95,few clouds,54.0359,19.0266,Hotel Centrum Malbork
342,Kropotkin,RU,72.61,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
343,Karratha,AU,72.19,clear sky,-20.7377,116.8463,ibis Styles Karratha
344,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
345,Ahipara,NZ,59.02,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
346,Atar,MR,89.46,clear sky,20.5169,-13.0499,Oumou Elghoura
347,Nemuro,JP,68.43,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
348,Marawi,PH,74.64,overcast clouds,7.9986,124.2928,Derogongan Residence
349,Invermere,CA,79.84,broken clouds,50.5167,-116.0354,Copper Point Resort
351,Petropavlovsk-Kamchatskiy,RU,64.99,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
352,Guiren,CN,78.28,light rain,33.6697,118.1889,Suyuan Hotel
353,North Bend,US,74.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
354,Acapulco,MX,85.23,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
355,Masterton,NZ,56.93,light rain,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
358,Lloydminster,CA,75.42,broken clouds,53.2835,-110.0016,BCMInns - Lloydminster
360,Wenling,CN,79.92,moderate rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
362,Hualmay,PE,63.97,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
363,Hamilton,US,79.41,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
365,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
366,La Orilla,MX,84.47,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
367,Isangel,VU,80.71,few clouds,-19.55,169.2667,Tanna Lodge
368,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
369,Dunedin,NZ,52.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
370,Zonguldak,TR,63.21,clear sky,41.25,31.8333,Süleyman Tez Ev
371,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
372,Xuddur,SO,70.66,broken clouds,4.1213,43.8894,Banjanay Hotel
373,Kuopio,FI,57.15,broken clouds,62.8924,27.677,Hotel Jahtihovi
374,Lillooet,CA,79.52,broken clouds,50.6856,-121.94200000000001,Hotel Victoria
375,Falkenberg,SE,58.96,clear sky,56.9055,12.4912,Falkenberg Strandbad
376,Heishan,CN,78.71,light rain,41.6892,122.1128,Heishan Hotel
377,Itarema,BR,78.78,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
378,Kihei,US,85.26,scattered clouds,20.785,-156.4656,Maui Sunset
379,Ilo,PE,60.21,clear sky,-17.6394,-71.3375,Torreblanca Hotel
380,Inhambane,MZ,67.73,few clouds,-23.865,35.3833,Oceano
381,Penalva,BR,75.76,broken clouds,-3.2942,-45.1736,Hotel São José
382,Rawson,AR,53.78,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
383,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
384,Cururupu,BR,74.53,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
385,Burnie,AU,52.92,moderate rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
386,College,US,77.09,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
387,Chumikan,RU,76.12,broken clouds,54.7183,135.315,Fortuna
388,Moram,IN,69.76,very heavy rain,17.8,76.4667,Bangi Farm House Murum
389,Alta Floresta,BR,76.42,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
391,Ponta Do Sol,PT,71.01,clear sky,32.6667,-17.1,Hotel do Campo
